Year,yr_1850,yr_1851,yr_1852,yr_1853,yr_1854,yr_1855,yr_1856,yr_1857,yr_1858,yr_1859,yr_1860,yr_1861,yr_1862,yr_1863,yr_1864,yr_1865,yr_1866,yr_1867,yr_1868,yr_1869,yr_1870,yr_1871,yr_1872,yr_1873,yr_1874,yr_1875,yr_1876,yr_1877,yr_1878,yr_1879,yr_1880,yr_1881,yr_1882,yr_1883,yr_1884,yr_1885,yr_1886,yr_1887,yr_1888,yr_1889,yr_1890,yr_1891,yr_1892,yr_1893,yr_1894,yr_1895,yr_1896,yr_1897,yr_1898,yr_1899,yr_1900,yr_1901,yr_1902,yr_1903,yr_1904,yr_1905,yr_1906,yr_1907,yr_1908,yr_1909,yr_1910,yr_1911,yr_1912,yr_1913,yr_1914,yr_1915,yr_1916,yr_1917,yr_1918,yr_1919,yr_1920,yr_1921,yr_1922,yr_1923,yr_1924,yr_1925,yr_1926,yr_1927,yr_1928,yr_1929,yr_1930,yr_1931,yr_1932,yr_1933,yr_1934,yr_1935,yr_1936,yr_1937,yr_1938,yr_1939,yr_1940,yr_1941,yr_1942,yr_1943,yr_1944,yr_1945,yr_1946,yr_1947,yr_1948,yr_1949,yr_1950,yr_1951,yr_1952,yr_1953,yr_1954,yr_1955,yr_1956,yr_1957,yr_1958,yr_1959,yr_1960,yr_1961,yr_1962,yr_1963,yr_1964,yr_1965,yr_1966,yr_1967,yr_1968,yr_1969,yr_1970,yr_1971,yr_1972,yr_1973,yr_1974,yr_1975,yr_1976,yr_1977,yr_1978,yr_1979,yr_1980,yr_1981,yr_1982,yr_1983,yr_1984,yr_1985,yr_1986,yr_1987,yr_1988,yr_1989,yr_1990,yr_1991,yr_1992,yr_1993,yr_1994,yr_1995,yr_1996,yr_1997,yr_1998,yr_1999,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019
1860,7.824422883247108e-05,7.776804502166064e-05,7.687315912144332e-05,7.548283690147345e-05,7.336648093312064e-05,7.038985701383373e-05,6.639732733875955e-05,6.0553194175041146e-05,5.0973582283701455e-05,3.162217826347281e-05,9.21498772972918e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,7.976203853861472e-05,7.961700556171139e-05,7.910843450805762e-05,7.817218940493927e-05,7.659550983647474e-05,7.429594797614836e-05,7.126997822268655e-05,6.709932377545885e-05,6.118825292747865e-05,5.1318419903879746e-05,3.177823927124745e-05,9.24392177971238e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,8.101741851845954e-05,8.116144497143356e-05,8.098926366034535e-05,8.044523546900557e-05,7.93245054020791e-05,7.756588389765205e-05,7.522490911461045e-05,7.202349545832633e-05,6.780304651002322e-05,6.160209164765215e-05,5.1571531672144066e-05,3.187782580958438e-05,9.272842166334339e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,8.204243780880142e-05,8.243885047176918e-05,8.256032308346772e-05,8.235784608543947e-05,8.163105796340792e-05,8.032945191148878e-05,7.853573090739821e-05,7.602024337230017e-05,7.277886750492197e-05,6.826158394099193e-05,6.19058856162957e-05,5.173298646657387e-05,3.197762474527622e-05,9.302045507508447e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,8.28652239229094e-05,8.348185373020962e-05,8.385974610962844e-05,8.395545266465416e-05,8.35718620718004e-05,8.266522525755826e-05,8.133385348811119e-05,7.93660717439016e-05,7.681753654717894e-05,7.327103504162994e-05,6.859820447834529e-05,6.209965377464415e-05,5.189500028476325e-05,3.207850927609921e-05,9.315447508105416e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,8.351051775337161e-05,8.431907573946875e-05,8.492072682982164e-05,8.527683288859188e-05,8.519301881637891e-05,8.463061670272148e-05,8.369883251882742e-05,8.219378000735248e-05,8.019845859078608e-05,7.733700264390183e-05,7.363235115670497e-05,6.881290414620031e-05,6.22941471669896e-05,5.205886656556996e-05,3.212477715847095e-05,9.344674480173641e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,8.400010419764171e-05,8.497569145551973e-05,8.57723795342968e-05,8.635574174017252e-05,8.653387747991834e-05,8.627231135789788e-05,8.568879861630893e-05,8.458376501929189e-05,8.305582613651885e-05,8.074077808250483e-05,7.771836409090765e-05,7.386279869915722e-05,6.902842867317557e-05,6.249088716665536e-05,5.21339944916932e-05,3.222547388865779e-05,9.373736273798894e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,8.435317238887716e-05,8.547386797821705e-05,8.644031308248281e-05,8.722178546448963e-05,8.762869060962002e-05,8.763015699599867e-05,8.73510206111372e-05,8.659477203132922e-05,8.547087934691801e-05,8.361746020585977e-05,8.113892053964768e-05,7.79615944983391e-05,7.409414258659729e-05,6.924645165979747e-05,6.25810804738558e-05,5.2297333591626305e-05,3.232562575832161e-05,9.386849254822832e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,8.458662681507141e-05,8.583313110216428e-05,8.694707663571728e-05,8.790100564351738e-05,8.85075008606271e-05,8.87388400878349e-05,8.872584450679479e-05,8.827456965624595e-05,8.750297964195842e-05,8.604883809630853e-05,8.402978512059983e-05,8.139285226590326e-05,7.820577803610562e-05,7.432817292300862e-05,6.934639946455136e-05,6.277713142308766e-05,5.24598089129847e-05,3.23708719337807e-05,9.415732972480051e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,8.471535942511897e-05,8.607068189412596e-05,8.731253252589402e-05,8.84163324603466e-05,8.919673368023608e-05,8.962878388010971e-05,8.984839047138527e-05,8.966393048074565e-05,8.920039665989525e-05,8.809467436861514e-05,8.647315005667639e-05,8.429276107278956e-05,8.164778429600467e-05,7.845280008351996e-05,7.443545767267003e-05,6.95636368891351e-05,6.297215067255918e-05,5.2533258097399796e-05,3.247036707573758e-05,9.44464636848212e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
